Declared UDA,Reference Number,Application Type,Proposal details,Type of approval,Address of Site,Property Desc.,Decision date
Greater Flagstone,DEV2012/244,Material Change of Use,UDA Material Change of Use - Whole of Site,Development Permit,"72 Riverbend Boulevard, Cedar Grove QLD 4280",Lot 800 on SP222166,14/09/2012
"Northshore Hamilton, Brisbane",DEV2012/246,Operational Work,Construction of trunk sewer withing road reserve,Development Permit,"Macarthur Avenue, Barcham Street, Theodore Street, Kingsford Smith Drive",Hamilton Road Reserve,25/05/2012
Greater Flagstone,DEV2012/247,Material Change of Use,"Proposed Material Change of Use Application to establish use rights over Precincts 1 of the Flinders Development and outline infrastructure framework, including the following use categories: Commercial Uses, Industrial Uses, Residential Uses, Retail Uses, Rural Uses, Services, Community and Other Uses; and Sport, Recreation and Entertainment Uses, in accordance with The Flinders Land Use Plan and associated documents.",Development Permit,"Dairy Road, Undullah Road and Wyatt Road, Undullah QLD 4285","Lot 3 on S311896 (and Unallocated Road Reserve within Lot 3), Lot 200 on SP133189 and Lot 1 on RP97710, Parish of Undullah, County of Stanley",25/01/2013
Greater Flagstone,DEV2012/248,Material Change of Use,Material Change of use - whole of site,Development Permit,"Wyatt Road, Undullah","Lot 3 on RP45236, Lot 28 on CPS111174, Lot 3 on RP49296",29/10/2012
"Bowen Hills, Brisbane",DEV2012/249,Material Change of Use,MCU for commercial office and retail (food/premises/cafe) and preliminary approval for carrying out building works,Preliminary Approval,"153 Campbell Street, Bowen Hills",Lot 1 on SP193899,1/06/2012
Moranbah,DEV2012/250,Material Change of Use,Material Change of Use (Multiple Residential and Operational Works),Development Permit,"Mills Avenue, Moranbah",Part of Lot 504 on SP230470 and Lots 3385-387 on SP230470,26/07/2012
,,Operational Work,,,,,
Moranbah,DEV2012/251,Material Change of Use,Material Change of Use (Multiple Residential and Operational Works),Development Permit,"Mills Avenue, Moranbah",Part of Lot 504 on SP230470 and Lots 381-383 on SP230470,26/07/2012
,,Operational Work,,,,,
Moranbah,DEV2012/252,Material Change of Use,Development permit for reconfiguring a lot (1 into 62 res lots) and park and new road with a plan of development and associated operational works.,Development Permit,"Mills Avenue, Moranbah",Lot 504 on SP230470,19/06/2012
,,Operational Work,Change to Approval approved 23 September 2013.,,,,
,,,Change to Approval approved 20 January 2014.,,,,
Moranbah,DEV2012/253,Material Change of Use,Temporary Accommodation Village for a period of three (3) years - Non-Resident Workers Accommodation,Development Permit,"Belyando Avenue, Curtin Avenue and Goonyella Road, Moranbah",Lot 9 on M973133 and Lot 1 on SP174464,19/07/2012
"Northshore Hamilton, Brisbane",DEV2012/254,Material Change of Use,"Multiple residential (285 units), office, shop and food premises.",Development Permit,"Remore Road, Eagle Farm","Lots 402, 403 & 406 on SP187479",27/06/2012
,,,Change to Approval approved 7 September 2012.,,,,
,,,Change to Approval approved 6 May 2015.,,,,
Blackwater,DEV2012/255,Other,"Renovations within the road reserve including a new concrete footpath, cantilevered awnings, street furniture, planters and 2 new illuminated signs",Development Permit,"16 Railway, 3 Mackenzie and 3 Columba Streets Blackwater QLD 4717","Lot 1 on RP 608586, Lot 2 on RP 612177 & Lot 602 on HT596",14/06/2012
Blackwater,DEV2012/257,Reconfiguring a Lot,1 Lot into 2,Development Permit,"Hibiscus Crescent, Blackwater",Lot 26 on CP848975,1/06/2012
Caloundra South,DEV2012/259,Material Change of Use,Material Change of Use to Neighbourhood Centre with Plan of Development,Development Permit,"Bellvista Boulevard, Caloundra West",Part of Lot 2000 on SP 245183 (proposed Lot 8001 on SP 245185),6/11/2012
"Northshore Hamilton, Brisbane",DEV2012/260,Material Change of Use,Temporary Educational establishment,Development Permit,"60 Macarthur Avenue, Hamilton",Lot 1161 on SP108457,9/04/2012
"Clinton, Gladstone",DEV2012/263,Reconfiguring a Lot,"Development Application for Stage 4a & 5 of the HillClose Estate within the Clinton UDA incorporating Reconfiguring a Lot (Stage 4a: 1 lot into 2 residential lots, 1 super lot and new road; Stage 5: 1 into 49 residential lots and new road) accompanied by a Plan of Development",Development Permit,"2 Harvey Road, Clinton","Lot 193 on CTN1861, Parish of Auckland",12/07/2012
,,,Change to Approval approved 22 January 2014.,,,,
"Clinton, Gladstone",DEV2012/264,Reconfiguring a Lot,"Development permit for reconfiguring a lot for staged subdivision 1 into 34 residential lots, 1 super lot, 1 open space lot and new road (stage 4), 1 into 63 residential lots and new road (stage 6) and 1 into 18 residential lots, 1 super lot and new road (stage 7) with plans of development and associated operational works.",Development Permit,"2 Harvey Road, Clinton",Lot 193 on CTN1861,20/09/2012
,,,Change to Approval approved 5 November 2013.,,,,
Blackwater,DEV2012/265,Material Change of Use,"Development Permit for Reconfiguring a Lot and Material Change of Use Work for Subdivision of 1 into 3 lots, House and associated operational works with associated Operational",Development Permit,"2 Evans Street, Blackwater",Lot 33 on B33722,18/06/2012
,,Reconfiguring a Lot,,,,,
Moranbah,DEV2012/266,Material Change of Use,Development permit for material change of use for interim use (staged 74 construction worker dwelling units) and associated operational works,Development Permit,"Goonyella Road, Moranbah",Lot 78 on CP901715,18/06/2012
,,Operational Work,,,,,
Ripley Valley,DEV2012/267,Material Change of Use,"Development Permit for Material Change of Use for residential uses (display home, home based business, house, multiple residential and other residential), commercial uses (business, car park, health care services, and sales office), retail uses (bulk landscape supplies, fast food premises, food premises, garden centre, market, outdoor sales, service station, shop, shopping centre and showroom), interim rural uses (agriculture, agriculture supply store, animal keeping and husbandry, intensive horticulture and wholesale nursery), service community and other uses (child care centre, community facility, educational establishment, emergency services and place of assembly, telecommunications facility and utility installation) and sport, recreation and entertainment uses (indoor sport and recreation, outdoor sport and recreation park).",Development Permit,"Lot 207 Grampian Drive, Deebing Heights",Lot 207 on CH31135,12/03/2013
Blackwater,DEV2012/271,Material Change of Use,"Development Permit for a Material Change of Use for multiple residential (7 dwelling units) and associated operational works (erosion and sediment control, filling and excavation, stormwater drainage work, pavement, footpath and driveway)",Development Permit,"64 Bauman Way, Blackwater,",Lot 16 on B337108,18/07/2012
"Northshore Hamilton, Brisbane",DEV2012/272,Other,Temporary Indoor Entertainment - Cirque du Soleil - OVO production,Development Permit,"257 Macarthur Avenue, Hamilton","Lot 1302 on SP195300, Lot 1202 on SP160055 and Part Lot 1303 on SP195300",15/06/2012
"Northshore Hamilton, Brisbane",DEV2012/273,Operational Work,Vegetation removal to enable construction of electrical and services trenches,Development Permit,"532 Beams Road, Carseldine",Lot 322 on RP172124,5/06/2012
"Andergrove, Mackay",DEV2012/274,Reconfiguring a Lot,Reconfigeration of a Lot (75 lots),Development Permit,"271 Bedford Road, Andergrove",Lots 3 and 4 on SP237606,20/06/2012
Ripley Valley,DEV2012/275,Material Change of Use,"Residential uses (display home), home based business, house, multiple residential, other residential and short term accommodation); Commercial uses (business, car park, health care services and sales office); Industrial uses (low impact industry, research and technology facility, service industry and warehouse); Retail uses (fast food premises, food premises, garden centre, market, service station, shop, shopping centre and showroom); Service, community and other uses (child care centre, community facility, educational establishment, emergency services, hospital, place of assembly, telecommunications facility, utility installation and veterinary hospital); Sport, recreation and entertainment uses (indoor entertainment, indoor sport and recreation, outdoor sport and recreation and park); and Rural uses (agriculture, animal keeping and husbandry, wholesale nursery)",Development Permit,"Barrams, Abrahams and Bayliss Roads, South Ripley","Lot 56 on SP200934, Lots 58, 59, 60, 61, 62, 75, 76, 77 on S151855, Lot 79 on SL79, Lot 109 and 113 on M3174 and part of Barrams Road and Abrahams Road Reserves (to be closed)",30/05/2013
"Fitzgibbon, Brisbane",DEV2012/276,Reconfiguring a Lot,1 Lot into 2 lots,Development Permit,"38 Mount Kaputar Avenue, Fitzgibbon",Lot 197 on SP242306,22/06/2012
"Fitzgibbon, Brisbane",DEV2012/277,Reconfiguring a Lot,2 Lots into 7 Lots,Development Permit,"36 & 42 Hinchinbrook Avenue, Fitzgibbon",Lots 111 & 112 on SP234612,13/07/2012
"Fitzgibbon, Brisbane",DEV2012/278,Reconfiguring a Lot,1 lot into 2,Development Permit,"36 Diamantina Crescent, Fitzgibbon",Lot 52 on SP234611,18/06/2012
"Northshore Hamilton, Brisbane",DEV2012/279,Operational Work,"Interfering with Significant Vegetation - in support of a development application for the proposed Riverwalk, Lookout Park and",Development Permit,"Macarthur Avenue, Eagle Farm","Lots 100, 105, 106, 107, and 110 on SP224971.",15/06/2012
,,,"Mangrove Walk located at Macarthur Avenue, Eagle Farm",,,,
Blackwater,DEV2012/280,Material Change of Use,Non resident worker accommodation (including ancillary uses),Development Permit,"Lot 5 off Capricorn Highway, Blackwater",Lot 5 on SP243869,12/09/2012
Blackwater,DEV2012/281,Material Change of Use,Material Change of Use & Operational Works approval for Stage 9 of Motel - 21 rooms plus guest laundry,Development Permit,"The Village on Blain, Blain Street, Blackwater",Lot 1 on SP 235822,21/08/2012
,,Operational Work,,,,,
Moranbah,DEV2012/282,Other,Preliminary approval for future use and development of land in accordance with proposal plan,Preliminary Approval,"Grosvenor Drive, Moranbah",Lot 901 on SP244517,5/07/2012
Ripley Valley,DEV2012/283,Material Change of Use,"Residential uses (display home, home based business, house, multiple residential, other residential and short term accommodation); Commercial uses (business, health care services and sales office); Retail uses (fast food premises, food premises, garden centre, market, service station, shop, shopping centre and showroom); Service, community and other uses (child care centre, community facility, educational establishment, emergency services, place of assembly, telecommunications facility and utility installation); Sport, recreation and entertainment uses (indoor entertainment, indoor sport and recreation, outdoor sport and recreation and park); Tourism uses (tourist attraction); and Rural uses (agriculture, animal keeping and husbandry, wholesale nursery)",Development Permit,"Ripley Road and Watsons Road, South Ripley",Lot 196 on SP157517 and Lot 370 on SP198119,26/03/2014
Greater Flagstone,DEV2012/284,Material Change of Use,"Material Change of Use (Houses, Multiple residential (duplexes) and utility installation (ERA 63 (3)) and Reconfiguring a lot (1 into 1001 lots) accompanied by a plan of development.",Development Permit,"Pub Lane, Greenbank",Lot 9968 on SP163061,29/01/2013
,,Reconfiguring a Lot,,,,,
"Oonoonba, Townsville",DEV2012/285,Reconfiguring a Lot,Reconfiguring a Lot (1 lot into 38 residential lots and balance lot),Development Permit,"180-202 River Boulevard, Oonoonba",Lot 6000 and 7000 on SP236402,15/01/2013
"Bowen Hills, Brisbane",DEV2012/289,Material Change of Use,MCU DP for Stage 1 mixed use development; multiple residential (164 units) and commercial/retail (170m2) and indoor sports and recreation (586m2).,Preliminary Approval,"332-342 Water Street & 62-68 Brunswick Street, Fortitude Valley Q 4006 Stage 1","Lot 11 & 12 on RP10552, Lot 1 on RP10553, Lot 1 on RP42507, Lots 1, 5, 6 & 13 on RP81335 and Lot 2 on rP881617 and Lots 900 & 901 on RP881617",26/07/2012
,,,Change to Development Approval approved 21.06.13.,Development Permit,,,
,,,Change to Development Approval approved 11.07.13.,,,,
,,,Change to Development Approval approved 07.04.14.,,,,
"Bowen Hills, Brisbane",DEV2012/290,Material Change of Use,Multiple Residential (160 Dwelling Units) and Commercial / Retail (38.32m2),Development Permit,"332 - 334 Water Street, Fortitude Valley QLD 4006","Lot 12 on RP10552, Lot 13 on RP81335, Lot 101 on SP143465, Lot 2 on RP881617 and Lot 900 on RP881617",30/08/2012
Yarrabilba,DEV2012/291,Operational Work,"Operational Works - Advertising Device along Waterford-Tamborine Road, Yarrabilba",Development Permit,Waterford Tamborine Road. Yarrabilba.,Lot 2 on RP138537,11/07/2012
"Northshore Hamilton, Brisbane",DEV2012/292,Material Change of Use,Community facility and educational establishment,Development Permit,"257 Macarthur Avenue, Hamilton",Part Lot 1303 on SP195300 - Lease A on SP195318,18/10/2012
Ripley Valley,DEV2012/293,Material Change of Use,MCU for multiple uses with accompanying master plan,Development Permit,"Ripley Road and Binnies Road, Ripley QLD",Lot 1 on RP114350; Lot 352 on S3173; Lot 354 on RP892012,6/12/2012
Ripley Valley,DEV2012/294,Reconfiguring a Lot,Approval for a POD and ROL,Development Permit,"664-700 Ripley Road, Ripley Valley","Lot 184 on S151860, Lot 510 on S15860 and lot 185 on SP200943",19/12/2014
"Fitzgibbon, Brisbane",DEV2012/298,Reconfiguring a Lot,"1 Lot into 238 lots plus new road, park and balance parcels.",Development Permit,"Roghan Road, Fitzgibbon",Lot 5010 on SP246550,29/05/2013
,,,Change to Approval approved 17/07/14.,,,,
,,,Change to Approval approved 27/02/15.,,,,
,,,Change to Approval approved 21 April 2015.,,,,
"Bowen Hills, Brisbane",DEV2012/299,Material Change of Use,"Mixed use development - 22 storey office building (office, shop, indoor sport and food premises)",Development Permit,"58-66 Abbotsford Road, Bowen Hills",Lot 2 on RP133342; Lot 1 on RP127538; Lot 1 on RP155441,2/10/2012
Ripley Valley,DEV2012/300,Material Change of Use,Material Change of Use for Sales Office (greater than 150m2) and cafe,Development Permit,"Lot 206 Grampian Drive, Deebing Heights",Lot 207 on CH31135,24/08/2012
"Bowen Hills, Brisbane",DEV2012/301,Reconfiguring a Lot,Reconfiguration of Lot (Boundary Realignment) - 2 lots into 2 lots,Development Permit,"332-342 Water Street and 62-68 Brunswick Street, Fortitude Valley",Lot 1 on RP42507; Lot 1 on RP81335,27/07/2012
Moranbah,DEV2012/302,Material Change of Use,Material Change of Use (Development Permit) for Multiple Residential (4 units),Development Permit,"11 Forrest Drive, Moranbah, QLD, 4744",Lot 8 on M97357,8/08/2012
Blackwater,DEV2012/303,Material Change of Use,Extra rooms required for doctor + Allied Health,Development Permit,2 Seeman St Blackwater 4717,Lot 43 HT592,13/08/2012
"Bowen Hills, Brisbane",DEV2012/304,Material Change of Use,Development permit for material change of use for commerical (business),Development Permit,"33 Jeays Street, Bowen Hills",Lot 24 on RP9985,3/08/2012
"Andergrove, Mackay",DEV2012/305,Reconfiguring a Lot,Development Application for stage 6 (30 lot residential reconfiguration) and stage 7 (21 lot residential reconfiguration),Development Permit,"271 Bedford Road, Andergrove",Lot 5 on SP237606,16/10/2012
"Andergrove, Mackay",DEV2012/306,Reconfiguring a Lot,Reconfiguration of a Lot (26 allotments),Development Permit,"271 Bedford Road, Andergrove",Part of Lot 1 on SP237606,16/10/2012
Blackwater,DEV2012/307,Material Change of Use,Development permit for material change of use for multiple resdiential (4 dwelling units) and associated operational works,Development Permit,"24 Eucalyptus Street, Blackwater",Lot 32 on B33791,8/08/2012
"Northshore Hamilton, Brisbane",DEV2012/308,Reconfiguring a Lot,Development permit for reconfiguring a lot (7 into 10) with park and new road,Development Permit,"MacArthur Avenue, Eagle Farm","Lots 101, 102, 105, 106, 107 on SP224971 and Lots 200 & 203 on SP246469",2/08/2012
Ripley Valley,DEV2012/309,Reconfiguring a Lot,"1 lot and unconstructed road into 2003 residential lots plus open space, balance lots and opening of new road",Development Permit,"Lot 207 Grampian Drive, Deebing Heights",Lot 207 on CH1135,21/03/2014
"Northshore Hamilton, Brisbane",DEV2012/310,Reconfiguring a Lot,Reconfiguring a lot (volumentric subdivision),Development Permit,"2 Harbour Road, Hamilton",Lot 4 on SP224042,25/07/2012
Moranbah,DEV2012/311,Reconfiguring a Lot,1 Lot into 2,Development Permit,"Lot 52 Tallon Street, Moranbah",Lot 52 on SP249163,18/07/2012
Greater Flagstone,DEV2012/312,Material Change of Use,"Multiple uses - residential, commercial, retail, industrial, service, sport and community, rural; Boundary realignments (6 into 6)",Development Permit,"368 Bushman Drive, Jimboomba",Lot 79 on S313001; Lot 310 on S311660; Lot 306 on S311476; Lot 153 on SL11068; Lot 78 on S313001;. Lot 86 on SL5122; Lot 156 on SL11068; Lot 157 on Sl11068; Lot 299 on SL311316; Lot 168 on SL11068; Lot 169 on SL11068; Lot 23 on SP14297; Lot 24 on SP412997; Lot 25 on SP142997,21/11/2012
,,Reconfiguring a Lot,,,,,
Yarrabilba,DEV2012/313,Operational Work,"Operational works - advertising device along Waterford- Tamorine Road, Yarrabilba",Development Permit,"Waterford Tamborine Road, Yarrabilba",Lot 2 on RP138537,7/08/2012
"Clinton, Gladstone",DEV2012/315,Material Change of Use,Multiple residential (2 dwellings - duplex),Development Permit,"Christina Road, Gladstone",Lot 27 on SP251125,24/08/2012
"Oonoonba, Townsville",DEV2012/319,Reconfiguring a Lot,Reconfiguring a Lot (1 into 2 - Management Subdivision),Development Permit,"180 - 202 River Boulevard, Oonoonba",Lot 7000 on SP 247154,24/07/2012
"Oonoonba, Townsville",DEV2012/320,Reconfiguring a Lot,Reconfiguring a Lot (50 residential lots and balance lot),Development Permit,"180 - 2002 River Boulevard, Oonoonba",Lot 7000 on SP 247154,27/11/2012
"Northshore Hamilton, Brisbane",DEV2012/321,Material Change of Use,ERA 8 (3)(a) Chemical storage (storing 10m3 to 500m3 of chemicals of C1 or C2 combustible liquids under AS 1940 or Dangerous Goods Class 3),Development Permit,"18 Hercules Street, Hamilton",Lot 674 on SL9942,18/09/2012
"Northshore Hamilton, Brisbane",DEV2012/322,Material Change of Use,MCU - Communitluy facility and service industry,Development Permit,"217 Macarthur Avenue, Hamilton",Part Lot 1303 on SP195300,17/10/2012
"Fitzgibbon, Brisbane",DEV2012/324,Material Change of Use,"Reconfiguring a Lot (1 into 34 lots) and Material Change of Use (Shopping Centre(shop, fast food premises, food premises, market); office; medical centre; House and Home Business)",Development Permit,"20 Merimbula Crescent, Fitzgibbon",Lot 4003 on SP249426,21/03/2013
,,Reconfiguring a Lot,,,,,
"Fitzgibbon, Brisbane",DEV2012/325,Material Change of Use,"Reconfiguring a lot (1 into 34 lots) and Material Change of Use (Shopping Centre - shop, food premises, market, office, medical centre).",Development Permit,"20 Merimbula Crescent, Fitzgibbon",Lot 4003 on SP249426,19/04/2013
,,Reconfiguring a Lot,Change to Approval approved 5 November 2015.,,,,
"Northshore Hamilton, Brisbane",DEV2012/326,Material Change of Use,Undefined use (temporary events venue),Development Permit,"Part 221 and 257-281 Macarthur Avenue, Hamilton",Lot 1303 on SP195300; Lot 1201 & 1202 on SP160055; Lot 1302 on SP195300,28/11/2012
"Northshore Hamilton, Brisbane",DEV2012/327,Material Change of Use,Undefined use (temporary events venue).,Development Permit,"221 Macarthur Avenue, Hamilton (part)",Part Lot 1303 on SP195300,24/10/2012
,,,Change to Approval approved 10 October 2010.,,,,
"Northshore Hamilton, Brisbane",DEV2012/330,Reconfiguring a Lot,2 lot subdivision of lot 1 (containing 2 approved commercial buildings) into 2 lots,Development Permit,"485 Kingsford Smith Drive, Hamilton",1 SP 224042,13/08/2012
Blackwater,DEV2012/333,Material Change of Use,Erect single garage with awning at one end,Development Permit,"47 Hibiscus Crescent, Blackwater",Lot 23 on CP848975,10/08/2012
"Northshore Hamilton, Brisbane",DEV2012/335,Reconfiguring a Lot,"2 into 3 lot community subdivision, 2 access easements, common property, variation to sub precinct plan 3(d)",Development Permit,"23 & 221 Macarthur Avenue, Hamilton",Lot 61 & 62 on SP231794; Lot 1303 on SP195300,5/07/2013
Blackwater,DEV2012/337,Operational Work,"Roadworks and associated soil erosion and sediment control, filling and excavation, pavement, roadworks and associated stormwater drainage works",Development Permit,"58-60 Railway Street, Blackwater",Lot 28 on SP193689 & Lot 1 B33738,9/08/2012
Blackwater,DEV2012/338,Reconfiguring a Lot,Development Permit for Reconfiguring a Lot (1 into 3 Lots and access easement),Development Permit,"Bauman Way, Blackwater",Lot 7 on SP243869,3/09/2012
"Fitzgibbon, Brisbane",DEV2012/339,Reconfiguring a Lot,Reconfiguration of a Lot (1 lot into 4 lots),Development Permit,"37 Hinchinbrook Avenue, Fitzgibbon",Lot 128 on SP234612,25/09/2012
"Fitzgibbon, Brisbane",DEV2012/340,Reconfiguring a Lot,Reconfigure 1 into 4 lots,Development Permit,"13 Kondalilla Place, Fitzgibbon",Lot 132 on SP 23612,25/09/2012
"Bowen Hills, Brisbane",DEV2012/342,Material Change of Use,Office (of which only 171m is additional gross floor area),Development Permit,"Part of 2/36 Edmondstone Road, Bowen Hills",Part of Lot 2 on GTP1501,17/09/2012
"Northshore Hamilton, Brisbane",DEV2012/343,Reconfiguring a Lot,Reconfigeration of Lots (12 lots plus common property),Development Permit,"Parkside Circuit, Hamilton",Lot 204 on 246469,13/09/2012
"Northshore Hamilton, Brisbane",DEV2012/344,Reconfiguring a Lot,10 lots + common property,Development Permit,"Parkside Circuit, Hamilton",Lot 304 on SP251857 (Formerly Lot 203 on SP246469),25/09/2012
Blackwater,DEV2012/345,Material Change of Use,Multiple Residential - 4 dwelling units,Development Permit,"19 Umbrella St, Blackwater",Lot 11 on B337100,17/01/2013
"Northshore Hamilton, Brisbane",DEV2012/347,Reconfiguring a Lot,Volumetric access easements,Development Permit,"Parkside Circuit, Hamilton","Lots 106, 107 on SP224971 (Proposed Lots 206/207) & Lots 108 & 109 on SP224971",13/09/2012
Moranbah,DEV2012/348,Material Change of Use,ERA8 (3) (a) Chemical Storage & ERA63 (2 (b) (i) Sewerage Treatment Plant 100 - 1500 EP,Development Permit,"Moranban Railway Station Road, Moranbah",Lot 27 on SP255600,28/11/2012
,,Other,,,,,
Yarrabilba,DEV2012/349,Operational Work,"Operational Work for Advertising Devices (associated with the North Village One Display Village, Yarrabilba",Other,1568 - 1618 Waterford Tamborine Road. Yarrabilba.,Lot 901 on SP247320,31/10/2012
,,,Change to Approval approved 18 March 2014.,,,,
"Fitzgibbon, Brisbane",DEV2012/350,Material Change of Use,Multiple Residential - 6 units,Development Permit,"15 Kirijani Street, Fitzgibbon",Lot 5004 on SP251840,28/11/2012
"Fitzgibbon, Brisbane",DEV2012/351,Material Change of Use,Multiple Residential - 3 dwelling units,Development Permit,"437 Norris Rd, Fitzgibbon",Lot 211 on SP242308,3/10/2012
"Fitzgibbon, Brisbane",DEV2012/352,Material Change of Use,Multiple residential - 3 dwellings,Development Permit,"429 Norris Road, Fitzgibbon",Lot 215 on SP242308,3/10/2012
"Fitzgibbon, Brisbane",DEV2012/353,Material Change of Use,Multiple Residential - 8 dwellings,Development Permit,"5 Carnarvon Crescent, Fitzgibbon",Lot 153 on SP228785,6/11/2012
"Fitzgibbon, Brisbane",DEV2012/354,Material Change of Use,Multiple Residential - 3 dwellings,Development Permit,"9 Katherine Street, Fitzgibbon",Lot 164 on SP242306,26/10/2012
"Fitzgibbon, Brisbane",DEV2012/355,Material Change of Use,Multiple Residential - 7 dwellings: Stage 1 - 1-3 dwellings and Stage 2 - 2-4 dwellings,Development Permit,"13 Noosa Street and 14 Moreton Street, Fitzgibbon",Lot 206 & 220 on SP242308,30/10/2012
Ripley Valley,DEV2012/357,Reconfiguring a Lot,ROL,Development Permit,"548-582 Ripley Rd, Ripley Valley",Lot 179 on SP143798 & Lot 180 on RP910173,4/12/2012
"Fitzgibbon, Brisbane",DEV2012/358,Reconfiguring a Lot,1 into 79 lots + balance lot,Development Permit,"253 Telegraph Rd, Fitzgibbon",Lot 5010 on SP246550,5/12/2012
,,,Change to Approval approved on 16 September 2013.,,,,
,,,Change to Approval approved on 28 March 2014.,,,,
"Bowen Street, Roma",DEV2012/359,Material Change of Use,Reconfigure 1 into 2; Balance lot; New road and MCU for two share accommodation dwellings and associated operational works,Development Permit,"Acacia Road, Roma",Part Lot 141 on SP250497,22/10/2012
,,Reconfiguring a Lot,,,,,
"Northshore Hamilton, Brisbane",DEV2012/361,Operational Work,Functional Road Layout,Preliminary Approval,"17-23 MacArthur Ave, Hamilton",Lot 62 on SP231794 & Lot 1303 on SP195300,28/09/2012
Moranbah,DEV2012/363,Material Change of Use,546 room non-resident worker accommodation (including ancillary uses),Development Permit,"Corner Goonyella Road, Curtain Street & Belyando Avenue, Moranbah",lot 1 on SP174464,19/12/2012
"Fitzgibbon, Brisbane",DEV2012/364,Reconfiguring a Lot,Lot 1 into 33 Residential lots,Development Permit,"20 Merimbula Crescent, Fitzgibbon",Lot 4003 on SP249426,16/01/2013
Greater Flagstone,DEV2012/365,Material Change of Use,Utility installation (sewerage treatment plant) incl. creation of 1 lot,Development Permit,"Undullah Road, Undullah, QLD 4285",Part of Lot 200 on SP133189,1/10/2013
,,Reconfiguring a Lot,,,,,
"Northshore Hamilton, Brisbane",DEV2012/366,Other,Permanent Road Closure,Development Permit,Part of Curain Avenue West from Lot SP104140 to Lot 796 SP163872,Part of Curain Avenue West from Lot SP104140 to Lot 796 SP163872,19/07/2012
Blackwater,DEV2012/367,Reconfiguring a Lot,Reconfigeration of Lot 2 into 59 lots; new road andbalance parcel with a POD,Development Permit,"Bauman Way, Blackwater",Lot 7 on SP243869,6/12/2012
"Bowen Hills, Brisbane",DEV2012/369,Material Change of Use,Service Industry - Car Detailling,Development Permit,"188 Abbotsford Rd, Bowen Hills",Lot 73 on RP9371,13/11/2012
"Northshore Hamilton, Brisbane",DEV2012/370,Reconfiguring a Lot,Volumetric Subdivision,Development Permit,"6 Harbour Rd, Hamilton",Lot 5 on SP224042,28/11/2012
"Northshore Hamilton, Brisbane",DEV2012/371,Material Change of Use,Temporary Activities (Showroom; Garden Centre; Hardware & Trade Supplies; Warehouse; Car Park; Outdoor Sales or Hire Yard; Bulk Landscape Supplies),Development Permit,"110 MacArthur Avenue and 57 Curtin Avenue, Hamilton",Lot 1162 on SP108458 and Part of Lot 886 on SL6135,28/11/2012
,,,Change to Approval approved 6 September 2013. Condition 5 amended to reflect an extension to the duration of the interim use to 10 years.,,,,
"Northshore Hamilton, Brisbane",DEV2012/372,Material Change of Use,Temporary Activities (Showroom; Garden Centre; Hardware & Trade Supplies; Warehouse; Car Park; Outdoor Sales or Hire Yard; Bulk Landscape Supplies),Development Permit,"60 MacArthur Avenue, Hamilton",Lot 1161 on SP108457 and Part of Lot 968 on SL5770,5/12/2012
"Northshore Hamilton, Brisbane",DEV2012/373,Material Change of Use,Temporary Activities (Showroom; Garden Centre; Hardware & Trade Supplies; Warehouse; Car Park; Outdoor Sales or Hire Yard; Bulk Landscape Supplies),Development Permit,"Part of 221 MacArthur Avenue, Hamilton",Part of Lot 1303 on SP195300,5/12/2012
"Bowen Street, Roma",DEV2012/375,Reconfiguring a Lot,Reconfiguring a Lot (1into 2 lots management subdivision),Development Permit,"Bowen Street, Roma",Lot 142 on SP250497,26/10/2012
Blackwater,DEV2012/376,Material Change of Use,Multiple Residential,Development Permit,"73 Acacia Street, Blackwater QLD",Lot 29 on B33779,8/01/2013
Blackwater,DEV2012/377,Material Change of Use,Multiple Residnetial (12 dwelling units),Development Permit,"Cnr Pendula Street and Hunter Street, Blackwater",Lots 13 & 14 on SP211943,28/11/2012
"Oonoonba, Townsville",DEV2012/380,Reconfiguring a Lot,1 into 29 lots subdivision,Development Permit,"180-202 River Boulevard, Oonoonba",Lot 7000 on SP247154,20/02/2013
,,,Change to Approval approved 23 September 2013.,,,,
"Tannum Sands, Gladstone",DEV2012/382,Material Change of Use,Reconfiguring a Lot (1 into 2) and Operational Works for Utility Storage Allotment,Development Permit,"Tannum Sands Road, Tannum Sands",Lot 6 on SP228432,7/12/2012
,,Reconfiguring a Lot,,,,,
,,Operational Work,,,,,
Moranbah,DEV2012/385,Material Change of Use,"Non-Resident Worker Accomodation and Short Term Accomodation; Relocatable Home Park; Food Premises; Shop; Business or Medical Centre; Indoor Sport, Entertainment and Recreation (Gym); and Indoor Entertainment (Hotel or Tavern).",Development Permit,"Belyando Avenue, Moranbah",Lot 5 on M97372,14/03/2013
,,,Change to Approval approved 3 March 2014.,,,,
"Bowen Hills, Brisbane",DEV2012/387,Material Change of Use,Multiple Residential (200 dwelling units) and Retail.,Development Permit,"332-334 Water Street and 62-68 Brunswick Street, Fortitude Valley","Lots 5 & 6 on RP81335, Lot 1 on RP10553, Lots 11 & 12 on RP1552, Lot 13 on RP81335, Lot 102 on SP143465 (formerly Lots 101 & 102 on SP143465), Lots 0, 881, 991 and 993 on SP114561 and Lot 902 on SP193941 (formerly Lots 2 and 900 on RP881617)",25/07/2014
,,,Change to Approval approved 14 August 2015,,,,
